VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchasRatio,UnsoldInventoryValue
7239,REMY COINTREAU USA INC     ,4437,Mount Gay Eclipse,23.48,30.99,1750,14171,332735.08,13206.0,450283.94,230123.04,24268.34,16978.67,117548.85999999999,26.105496900466846,0.9319031825559241,1.3532806339505892,22658.2
1392,CONSTELLATION BRANDS INC   ,11213,Meiomi Pnt Nr,12.66,19.99,750,26190,331565.39999999997,25111.0,491482.89,146467.69999999998,2811.14,79528.99,159917.49000000005,32.53775324711712,0.9588010691103475,1.4823105486881323,13660.14
8004,SAZERAC CO INC             ,5299,Southern Comfort,15.26,21.99,1750,21713,331340.38,19080.0,396047.2,125432.87,35056.86,50293.62,64706.82000000001,16.33815868411644,0.8787362409616359,1.1952880599702336,40179.58
7239,REMY COINTREAU USA INC     ,782,Remy Martin 1738 Accord Ryl,35.15,54.99,750,9415,330937.25,8940.0,434188.6,147422.48,7040.64,16978.67,103251.34999999998,23.780299620948128,0.9495485926712692,1.311996760715211,16696.25
3960,DIAGEO NORTH AMERICA INC   ,2889,Buchanans Deluxe 12Yr Scotch,23.07,31.99,750,14260,328978.2,12882.0,414644.18,76271.44,10144.58,257032.07,85665.97999999998,20.660118755314492,0.9033660589060308,1.2604001724126401,31790.46
3960,DIAGEO NORTH AMERICA INC   ,3549,Ketel One Vodka,17.82,26.99,750,18322,326498.04,15929.0,393167.70999999996,206619.09999999998,12545.29,257032.07,66669.66999999998,16.95705631573864,0.8693919877742604,1.2041962334597782,42643.26
17035,PERNOD RICARD USA          ,857,Kahlua,16.17,21.99,1000,20165,326068.05,18751.0,441712.49,192996.31999999998,19688.55,123780.22,115644.44,26.18093049621486,0.9298785023555666,1.3546635127238011,22864.38
3960,DIAGEO NORTH AMERICA INC   ,8506,Myers Original Dark Rum,21.42,29.99,1750,15187,325305.54000000004,14231.0,437784.69,193202.75,26150.87,257032.07,112479.14999999997,25.69280118041587,0.9370514255613354,1.3457646309989062,20477.52
4425,MARTIGNETTI COMPANIES,14672,Duckhorn Decoy Cab Svgn,11.61,21.99,750,27814,322920.54,26083.0,480357.25,139056.36,2920.52,144929.24,157436.71000000002,32.7749211654451,0.9377651542388725,1.4875400926803852,20096.91
4425,MARTIGNETTI COMPANIES,6579,J Lohr Riverstone Chard,5.8,8.99,750,54960,318768.0,53701.0,581431.9400000001,118821.24,6025.7,144929.24,262663.94000000006,45.17535448774968,0.9770924308588064,1.8239972017266477,7302.2
